User Input,Emotion,Comforting Response
"I feel so lonely",loneliness,"I'm really sorry you're feeling this way. It's tough to feel lonely. Remember that you can always reach out to others, and there are people who care about you, even if it doesn't feel like it right now."
"I'm feeling really stressed out",stress,"Stress can be overwhelming. Would you like to talk about what's stressing you out?"
"I feel so anxious about everything",anxiety,"It's okay to feel anxious. Let's take some deep breaths and talk it through together."
"I am so depressed, I can't handle this",depression,"I'm really sorry you're feeling this way. Depression is hard, and it's okay to ask for help."
"I feel hopeless, like nothing will get better",hopelessness,"I know things might feel hopeless right now, but there’s always a way forward. Please reach out for support."
"I am just so angry",anger,"I understand that you're feeling angry, and it's okay to feel that way. Would you like to talk more about what's making you upset?"
"I'm feeling really nervous about tomorrow",nervousness,"It's completely normal to feel nervous. Take a deep breath and try to focus on one step at a time."
"I feel guilty about what happened",guilt,"It's okay to feel guilty, but you don’t need to carry that burden alone. Maybe sharing what you're feeling can help."
"I just can't do it anymore, I'm overwhelmed",overwhelm,"It's okay to feel overwhelmed sometimes. You're doing your best, and that's enough. Would you like to share more about what's going on?"
"I feel so lost, I don't know what to do",confusion,"It's okay to feel confused sometimes. Life can be complex, but you're doing great by reaching out. Let's take it step by step."
"I can't shake this feeling of emptiness",emptiness,"It's okay to feel empty sometimes. It’s important to be kind to yourself while you work through it. You are enough just as you are."
"I'm so anxious about my future",future-anxiety,"It's natural to feel anxious about the future, but take it one day at a time. You're not alone in this."
"I feel like I don't belong anywhere",belonging,"I understand how hard it can feel when you don’t feel like you belong, but remember there are places where you can fit in. It just takes time."
"I feel abandoned by everyone",abandonment,"I'm really sorry you're feeling this way. It can be tough, but please know that people do care about you, even if it feels different right now."
"I can't stop crying, I feel so weak",weakness,"It's okay to cry, and it doesn't make you weak. Emotions are part of being human, and it's okay to let them out."
"I just can't stop thinking about everything",overthinking,"Overthinking can be exhausting. Try to focus on the present moment, one step at a time. You're doing your best."
"I feel like I'm drowning in my thoughts",mental-overload,"It sounds like you're dealing with a lot right now. Try to take it slow, and maybe share your thoughts with someone you trust."
"I feel like I'm never good enough",self-doubt,"I'm really sorry you're feeling this way. But you're doing your best, and that’s enough. We all have our struggles, and you’re not alone in this."
"I'm afraid of being judged",judgment,"It's natural to be afraid of judgment, but remember, people who truly care won’t judge you. Be kind to yourself."
"I feel disconnected from everyone",disconnection,"I'm really sorry you're feeling this way. Feeling disconnected can be hard, but reaching out to others can help you feel supported."
"I'm so frustrated with everything",frustration,"I understand how frustrating things can get. Sometimes taking a break and then tackling things one by one can help relieve some of the pressure."
"I'm so tired, I feel exhausted",exhaustion,"It's important to listen to your body and take breaks when you need them. Rest is just as important as productivity."
"I feel like everything is falling apart",helplessness,"It can feel like everything is going wrong at once, but it will get better. Take small steps toward making things better."
"I feel hopeless about my situation",hopelessness,"I know it feels tough right now, but things can change. Please talk to someone who can offer you support."
"I feel so invisible",invisibility,"I'm really sorry you're feeling invisible. You are important, and people do notice you. Sometimes it just takes time for others to see your worth."
"I feel like I'm failing at everything",failure,"It's okay to feel like you're not succeeding in everything. Everyone faces setbacks. You're not a failure, you're learning."
"I'm so scared of failing",fear-of-failure,"It's normal to be afraid of failure, but failure is often a stepping stone to growth. Don't be too hard on yourself."
"I feel so overwhelmed by my responsibilities",responsibility-overload,"It’s completely normal to feel overwhelmed sometimes. Break things down into smaller tasks and take one step at a time."
"I'm feeling so uncertain about everything",uncertainty,"Uncertainty is a part of life. It's okay to not have all the answers. You're doing your best, and that’s enough."
"I feel like I'm always anxious",chronic-anxiety,"It’s tough to deal with constant anxiety, but you're not alone. It’s okay to ask for help from a professional."
"I feel like I can't trust anyone",distrust,"Trust is difficult sometimes, but please remember that there are people who care about you and are trustworthy. It’s okay to take things slowly."
"I feel like I’m just going through the motions",numbness,"It sounds like you might be feeling numb right now. It’s okay to take a break and reconnect with yourself when you're ready."
"I feel like I'm stuck",stuck,"Sometimes we all feel stuck, but you’re not alone. Small steps forward can help you move past this feeling."
"I feel so empty inside",emptiness,"It's okay to feel empty sometimes. You’re not alone in feeling this way, and there are ways to work through it, step by step."
"I feel so misunderstood",misunderstood,"I'm really sorry you're feeling misunderstood. Your feelings are valid, and it's important to talk about them with someone who listens."
"I'm so upset with myself",self-frustration,"It's okay to be upset, but don’t be too hard on yourself. We all make mistakes. What matters is how we learn and grow from them."
"I feel like my mind is racing",racing-thoughts,"It can be exhausting when your thoughts are racing. Try taking some deep breaths and focusing on one thing at a time."
"I feel like I can't do anything right",incompetence,"I understand how tough it can be to feel like you’re not doing things right. You're doing your best, and that’s what matters most."
"I feel like nobody cares about me",neglect,"I'm really sorry you're feeling this way. There are people who care about you, even if it doesn’t feel like it right now."
"I feel so alone in this",isolation,"It's tough to feel alone, but remember that you're not alone. Reaching out to others, even online, can help you feel more connected."
"I feel like I'm always letting people down",guilt,"It's okay to feel like you're letting people down, but you're doing your best. It’s important to take care of yourself, too."
"I feel ashamed of my actions",shame,"Shame can be difficult to carry, but remember that everyone makes mistakes. The important thing is how we move forward and learn from them."
"I feel like I'm never enough",inadequacy,"You're more than enough just as you are. It's okay to have doubts, but know that you are worthy and valuable."
"I feel like I can't move on",stagnation,"It can be really hard to move on, but taking small steps and being patient with yourself will help you get through it."
