User Input,Emotion,Comforting Response
"I feel nervous about my future.","Anxiety","The future can be uncertain, but you’re stronger than you think. Take it one day at a time; you don’t have to have it all figured out now."
"I'm anxious about meeting new people.","Anxiety","Meeting new people can be intimidating. Remember to be yourself, and know that others may feel just as nervous as you do."
"I feel anxious at work all the time.","Anxiety","Work can bring pressure, but remember that it’s okay to take breaks and prioritize your well-being. You're capable and valued."
"I'm worried I won't succeed.","Anxiety","Doubts can feel overwhelming, but your hard work and dedication matter. Trust yourself and know success can take time."
"I'm afraid of making mistakes.","Anxiety","Mistakes are part of learning and growing. It’s okay to stumble; you’ll only become better with each experience."
"I feel like I’m always overthinking.","Anxiety","Overthinking can be exhausting. Try to focus on one small thing at a time and trust that things don’t have to be perfect."
"I'm stressed about handling everything on my plate.","Anxiety","Taking on a lot can be overwhelming. Try to break tasks down into smaller steps, and remember it's okay to ask for help."
"I feel like I'm not good enough.","Anxiety","You are enough, just as you are. It’s okay to have doubts, but don’t let them dim your self-worth."
"I'm anxious about starting something new.","Anxiety","New beginnings can be scary, but they also bring growth and learning. Take things slow, and remember you’re not alone."
"I'm worried people will judge me.","Anxiety","Remember that people often focus on themselves. Trust that your true self is worthy of being seen and accepted."
"I feel pressure to meet everyone’s expectations.","Anxiety","It’s hard to meet everyone’s expectations. Focus on what’s most important to you, and know it’s okay to set your own pace."
"I feel tense before going to social events.","Anxiety","Social events can be overwhelming. Take deep breaths, and remember you don’t have to be perfect to be welcomed and liked."
"I’m afraid of failing.","Anxiety","Failure is a part of every journey to success. Each setback is a lesson and a stepping stone toward your growth."
"I feel stressed about my finances.","Anxiety","Money worries are common. Try to take small steps in managing your finances, and remember that progress takes time."
"I constantly worry about my loved ones.","Anxiety","It’s natural to care about those you love. Remind yourself they are resilient too, and focus on what you can control."
"I feel anxious about making decisions.","Anxiety","Decision-making can be tough. Remember that no choice is final; you’re allowed to change and grow with your choices."
"I'm nervous about public speaking.","Anxiety","Public speaking is challenging for many people. Focus on one person at a time, and remember, they’re rooting for you."
"I'm always anxious about the worst happening.","Anxiety","Imagining the worst can be overwhelming. Try focusing on the present moment, and remember that most fears won’t come true."
"I’m scared to take risks.","Anxiety","Taking risks can feel scary, but it’s how we grow. Start with small steps, and trust that every effort helps you move forward."
"I feel overwhelmed by my to-do list.","Anxiety","A long list can feel daunting. Start with just one task, and remember that progress is progress, no matter the pace."
"I feel stressed about my appearance.","Anxiety","It’s easy to be self-critical. Remember that people are drawn to who you are, not just how you look. You are more than enough."
"I'm worried that I'm falling behind.","Anxiety","Life isn’t a race. Focus on your path and trust that you’re exactly where you need to be right now."
"I feel like I'm constantly being judged.","Anxiety","Remember that people often have their own worries. Stay true to yourself and know that you are worthy just as you are."
"I feel like I have no control over anything.","Anxiety","It’s tough to feel out of control. Focus on the small things you can influence, and take things one step at a time."
